数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
O2813841502026116,徐汇区_末端试水电动阀_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9604780375301394,0.0022717438338381,0.9582062936963013,1.002935318167523
O2813841502025062,徐汇区商务服务业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9954921899570186,0.037321505841627,0.9581706841153916,1.0030401509592202
O2813841502025064,徐汇区土木工程建筑业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9901457175804592,0.0323453050627434,0.9578004125177159,1.0031449837509174
O2813841502025095,徐汇区批发业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.990040884788762,0.0323453050627434,0.9576955797260186,1.0032498165426147
O2813841502026033,徐汇区田林街道_门禁设备_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9584862144878918,0.0022717438338381,0.9562144706540537,1.0033546493343117
O2813841502026156,徐汇区_楼道堆物监测传感器_物联设备信息,民生服务,数据产品,有条件开放,1,54,1.0,0.9573330537792222,0.0022717438338381,0.9550613099453841,1.003459482126009
O2813841502026108,徐汇区_压力开关传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9625746933640844,0.0075724794461272,0.9550022139179573,1.0035643149177063
O2813841502026068,徐汇区华泾镇_手动火灾报警按钮_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9707516511164692,0.0163349199480744,0.9544167311683949,1.0036691477094035
O2813841502026102,徐汇区_正压风机传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9747352972009644,0.0205538727823453,0.9541814244186191,1.0037739805011008
O2813841502026042,徐汇区凌云街道_感温探测器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9607925359052312,0.0075724794461272,0.953220056459104,1.0038788132927978
O2813841502026063,徐汇区华泾镇_火灾探测器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9655100115316072,0.0123323236694071,0.9531776878622001,1.003983646084495
O2813841502026037,徐汇区虹梅街道_输入输出模块_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9735821364922947,0.0205538727823453,0.9530282637099494,1.0040884788761923
O2813841502025083,徐汇区金属制品业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9852185763706888,0.0323453050627434,0.9528732713079454,1.0041933116678896
O2813841502025058,徐汇区体育业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9894118880385784,0.037321505841627,0.9520903821969514,1.0042981444595869
O2813841502026079,徐汇区湖南街道_门体状态探测传感器(gsm版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9643568508229374,0.0123323236694071,0.9520245271535304,1.0044029772512841
O2813841502026047,徐汇区天平街道_火灾烟雾探测传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9683404969074326,0.0163349199480744,0.9520055769593583,1.0045078100429814
O2813841502026069,徐汇区枫林街道_输入输出模块_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9595345424048642,0.0075724794461272,0.9519620629587371,1.0046126428346787
O2813841502026073,徐汇区凌云街道_消火栓按钮传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9641471852395428,0.0123323236694071,0.9518148615701357,1.004717475626376
O2813841502026031,徐汇区龙华街道_门禁设备_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9592200440297726,0.0075724794461272,0.9516475645836454,1.0048223084180732
O2813841502025077,徐汇区纺织服装、服饰业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.988782891288395,0.037321505841627,0.9514613854467681,1.0049271412097704
O2813841502026056,徐汇区漕河泾街道_模块_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9588007128629836,0.0075724794461272,0.9512282334168565,1.0050319740014677
O2813841502026107,徐汇区_广告牌安全监测_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9716951462417444,0.0205538727823453,0.951141273459399,1.005136806793165
O2813841502025102,徐汇区食品制造业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9876297305797254,0.037321505841627,0.9503082247380984,1.0052416395848622
O2813841502025082,徐汇区邮政业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9825977565782577,0.0323453050627434,0.9502524515155143,1.0053464723765595
O2813841502026097,徐汇区_送风阀口传感器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9664535066568822,0.0163349199480744,0.9501185867088078,1.0054513051682568
O2813841502026065,徐汇区龙华街道_点型感烟探测器_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9621553621972954,0.0123323236694071,0.9498230385278883,1.005556137959954
O2813841502026059,徐汇区凌云街道_手动火灾报警按钮_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9658245099066988,0.0163349199480744,0.9494895899586244,1.005660970751651
O2813841502026127,徐汇区_门体状态探测传感器(nb版)_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9731628053255058,0.0240155776720034,0.9491472276535025,1.0057658035433483
O2813841502026077,徐汇区漕河泾街道_输入输出模块_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9614215326554146,0.0123323236694071,0.9490892089860076,1.0058706363350456
O2813841502025065,徐汇区娱乐业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9908795471223398,0.0424058848983124,0.9484736622240274,1.0059754691267428
O2813841502025057,徐汇区专用设备制造业单位,经济建设,数据产品,有条件开放,1,54,1.0,0.9907747143306426,0.0424058848983124,0.9483688294323301,1.0060803019184401
O2813841502026055,徐汇区枫林街道_输入模块_物联设备信息,公共安全,数据产品,有条件开放,1,54,1.0,0.9557605619037636,0.0075724794461272,0.9481880824576364,1.0061851347101374
