数据集ID,数据资源名称,数据领域,数据资源类型,开放属性,baseline_candidate,sensitivity_selected_count,sensitivity_selected_share,PotentialUse_CRITIC_percentile,ActualUse_type_percentile,DormantScore_rule,robustness_rank
AB6002018018,基于数字证书的外资企业信息管理系统人员信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0174022434217423,0.7581133708351363,-0.740711127413394,2673.9658245099067
AC5002015057,主要年份能源消耗基本情况,资源环境,数据产品,无条件开放,0,0,0.0,0.251179368906594,0.9922111639982693,-0.7410317950916753,2673.9659293426985
8577,虹口区高中学校信息,教育科技,数据产品,有条件开放,0,0,0.0,0.0143620924625222,0.7555170921678926,-0.7411549997053705,2673.96603417549
AB6002017007,上海节能环保大型综合超市示范创建单位信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0964461683614634,0.8379489398528776,-0.7415027714914142,2673.966139008282
284,宝山规划资源局行政处罚案件信息公开目录,信用服务,数据产品,无条件开放,0,0,0.0,0.1960373204738442,0.9379056685417568,-0.7418683480679127,2673.9662438410733
AC5002017006,能源消费弹性系数,经济建设,数据产品,无条件开放,0,0,0.0,0.2119719048118251,0.9545651233232368,-0.7425932185114117,2673.966348673865
7682,沪惠保资质认证接口（医保中心）,卫生健康,数据接口,有条件开放,0,0,0.0,0.1435160918335255,0.8862896663954435,-0.742773574561918,2673.9664535066568
AQ2002018143,浦东新区双公示_规土局_行政许可,信用服务,数据产品,无条件开放,0,0,0.0,0.0096446168361463,0.7540025962786673,-0.744357979442521,2673.9665583394485
AQ1002018038,静安区居民活动室,文化休闲,数据产品,无条件开放,0,0,0.0,0.1525317119194884,0.8972306360882735,-0.7446989241687851,2673.9666631722403
AC5002017022,六个重点工业行业主要指标,经济建设,数据产品,无条件开放,0,0,0.0,0.1500157249187546,0.8948507139766335,-0.7448349890578789,2673.966768005032
10338,嘉定区景区信息,文化休闲,数据产品,无条件开放,0,0,0.0,0.0560855435580249,0.800951968844656,-0.7448664252866312,2673.9668728378238
AC4002016002,上市公司环保核查,资源环境,数据产品,有条件开放,0,0,0.0,0.2122864031869168,0.9571614019904804,-0.7448749988035636,2673.9669776706155
AQ1002018020,静安区糖尿病管理,卫生健康,数据产品,无条件开放,0,0,0.0,0.2000209665583394,0.9452617914322804,-0.745240824873941,2673.9670825034073
10263,黄浦区公共停车场车位信息,城市建设,数据接口,有条件开放,0,0,0.0,0.1905860153055875,0.9369406021155412,-0.7463545868099537,2673.9671873361985
224,闵行区众创空间导览,教育科技,数据产品,无条件开放,0,0,0.0,0.0222245518398154,0.7693639117265253,-0.7471393598867099,2673.9672921689903
13282,口袋公园名录,城市建设,数据接口,有条件开放,0,0,0.0,0.1676276339238914,0.9149715215622456,-0.7473438876383542,2673.967397001782
AQ1002018024,静安科普屏数量,教育科技,数据产品,无条件开放,0,0,0.0,0.1594506761715064,0.9080484638684552,-0.7485977876969487,2673.967501834574
AD3002015016,《建设用地规划许可证》（市政类）审批,城市建设,数据产品,无条件开放,0,0,0.0,0.1812558968445329,0.9303331890956296,-0.7490772922510966,2673.9676066673655
637,黄浦区剧院基本信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0023063214173393,0.7516226741670272,-0.7493163527496879,2673.9677115001573
AH1002018027,应急物资仓库,道路交通,数据产品,有条件开放,0,0,0.0,0.0027256525841283,0.7524881003894418,-0.7497624478053135,2673.967816332949
644,黄浦区证券公司基本信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0036691477094035,0.75356988316746,-0.7499007354580565,2673.967921165741
647,黄浦区会计事务所基本信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0045078100429814,0.7544353093898745,-0.7499274993468931,2673.9680259985325
AB1002015008,上海市2015年市本级政府性基金支出预算数据,经济建设,数据产品,无条件开放,0,0,0.0,0.2142782262291644,0.9643011683254002,-0.7500229420962359,2673.968130831324
AC5002015022,1978年以来工业总产值及其增长速度,经济建设,数据产品,无条件开放,0,0,0.0,0.1811510640528357,0.931847684984855,-0.7506966209320194,2673.9682356641156
942,宗教院校,教育科技,数据接口,无条件开放,0,0,0.0,0.139427612957333,0.8913751017087063,-0.7519474887513733,2673.9683404969073
AB6002018010,基于数字证书的外资企业信息管理系统涉及行业信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0850193940664639,0.8375162267416703,-0.7524968326752064,2673.968445329699
AB6002018032,基于数字证书的外资企业信息管理系统角色信息,经济建设,数据产品,无条件开放,0,0,0.0,0.0221197190481182,0.7747728256166162,-0.752653106568498,2673.968550162491
989,杨浦区文化资源管理文化馆活动信息,文化休闲,数据接口,有条件开放,0,0,0.0,0.2013837928504036,0.9542310821806348,-0.7528472893302312,2673.9686549952826
1078,上海食用农产品流通安全信息追溯管理平台产地,经济建设,数据接口,无条件开放,0,0,0.0,0.1750707621343956,0.9281936533767292,-0.7531228912423336,2673.9687598280743
AC5002015043,1978年以来社会消费品零售总额按经济类型分,经济建设,数据产品,无条件开放,0,0,0.0,0.1852395429290282,0.9400692340977932,-0.754829691168765,2673.968864660866
AH1002018009,安全诚信船舶,道路交通,数据产品,有条件开放,0,0,0.0,0.0095397840444491,0.764820424058849,-0.7552806400143999,2673.968969493658
649,黄浦区辖区内中华老字号店铺基本信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0057658035433483,0.7615750757247944,-0.7558092721814461,2673.969074326449
2202,上海市未成年人保护工作先进个人名单,教育科技,数据接口,有条件开放,0,0,0.0,0.1463465772093511,0.902359641985354,-0.7560130647760029,2673.969179159241
636,黄浦区纪念馆基本信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0025159870007338,0.7585460839463436,-0.7560300969456097,2673.9692839920326
AH0002017003,住房公积金业务办理网点信息,城市建设,数据接口,无条件开放,0,0,0.0,0.220568193730999,0.976606997558991,-0.756038803827992,2673.9693888248244
AC5002015040,1978年以来上海市生产总值（支出法）,经济建设,数据产品,无条件开放,0,0,0.0,0.1818848935947164,0.9381220250973604,-0.756237131502644,2673.969493657616
654,黄浦区医保药店信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0031449837509172,0.7594115101687581,-0.7562665264178409,2673.969598490408
652,黄浦区餐饮场所基本信息,公共安全,数据产品,无条件开放,0,0,0.0,0.0106929447531187,0.7682821289485071,-0.7575891841953885,2673.9697033231996
8533,小东门街道公共法律服务站,社会发展,数据接口,无条件开放,0,0,0.0,0.1072439459062794,0.8661513425549227,-0.7589073966486433,2673.9698081559914
10502,上海市重点公园实时游客量数据,资源环境,数据接口,有条件开放,0,0,0.0,0.2237131774819163,0.9831163547599676,-0.7594031772780513,2673.969912988783
AG8002015028,清洁生产领域专项资金分配结果,经济建设,数据产品,无条件开放,0,0,0.0,0.1548380333368277,0.9145391605365644,-0.7597011271997367,2673.9700178215744
AB9002015039,上海市船舶过闸收费信息 ,道路交通,数据产品,无条件开放,0,0,0.0,0.2126009015620086,0.9729554305495456,-0.760354528987537,2673.970122654366
1107,城市设施-倒粪站,城市建设,数据接口,有条件开放,0,0,0.0,0.0813502463570605,0.8417412530512612,-0.7603910066942008,2673.970227487158
7223,松江区政府采购社会代理机构推荐信息,机构团体,数据接口,无条件开放,0,0,0.0,0.2282209875248977,0.9892188771358827,-0.760997889610985,2673.9703323199496
AA5002018009,网站数字图书视频共享资源,教育科技,数据接口,无条件开放,0,0,0.0,0.2163748820631093,0.9776240846216436,-0.7612492025585343,2673.9704371527414
AA5002015022,有效高新技术企业,经济建设,数据产品,无条件开放,0,0,0.0,0.2353496173603103,0.9967546516659456,-0.7614050343056353,2673.970541985533
9490,行业代码字典,经济建设,数据接口,无条件开放,0,0,0.0,0.1120662543243526,0.8734743694060212,-0.7614081150816686,2673.970646818325
1786,青浦区学校基本信息,社会发展,数据接口,无条件开放,0,0,0.0,0.1671034699654051,0.92860048820179,-0.7614970182363849,2673.9707516511166
1037,上海市科技型中小企业技术创新资金项目信息,教育科技,数据接口,有条件开放,0,0,0.0,0.1239123597861411,0.8858828315703824,-0.7619704717842413,2673.9708564839084
AB6002017006,在上海举办的对外经济技术展览项目情况,经济建设,数据产品,无条件开放,0,0,0.0,0.0795680888982073,0.8420597144093466,-0.7624916255111392,2673.9709613166997
AQ1002018031,公安静安分局派出所相关办理业务,民生服务,数据产品,无条件开放,0,0,0.0,0.1892231890135234,0.9517524881003896,-0.7625292990868662,2673.9710661494914
AQ1002018025,静安社区创新屋,教育科技,数据产品,无条件开放,0,0,0.0,0.1732886046755425,0.9361748160969278,-0.7628862114213852,2673.971170982283
AQ1002018032,公安静安分局派出所地址,民生服务,数据产品,无条件开放,0,0,0.0,0.2140685606457699,0.9772825616616184,-0.7632140010158486,2673.971275815075
632,黄浦区街道社区文化活动服务中心一览表,公共安全,数据产品,无条件开放,0,0,0.0,0.0046126428346786,0.7678494158372998,-0.7632367730026213,2673.9713806478667
AC5002015041,1978年以来上海市生产总值比上年增长,经济建设,数据产品,无条件开放,0,0,0.0,0.1711919488415976,0.9344439636520988,-0.7632520148105012,2673.9714854806584
1411,制度库信息,经济建设,数据接口,无条件开放,0,0,0.0,0.1836670510535695,0.9473148901545972,-0.7636478391010277,2673.97159031345
