数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O1928138422025071,松江区城镇低保发放名册,民生服务,上海市松江区人民政府,数据接口,有条件开放,每天,0.3220097640358014,0.792850403606248,0.4708406395704466,0.3850508439039731,0.0630410798681717,0.8791666666666665,0.5858292079207921,0.6288493753690244,0.42,0.7242610062893081,0.975,0.773634595396312,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025071&&companyFlag=0
O1928138392025528,普陀区粮食加工品监督抽检合格产品信息,公共安全,上海市普陀区人民政府,数据产品,无条件开放,每年,0.4807442665512765,0.9511479190690848,0.4704036525178083,0.2529615263654471,-0.2277827401858294,0.8416666666666667,0.8632013201320131,0.5722802119372236,1.0,0.4289779874213837,0.675,0.7917607272592408,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025528&&companyFlag=0
O1928138402025132,静安区养老机构基础信息,民生服务,上海市静安区人民政府,数据产品,无条件开放,每年,0.3020337516226741,0.7724080092252856,0.4703742576026115,0.3258203165950309,0.0237865649723568,0.8791666666666665,0.7521658415841584,0.2779684028083827,1.0,0.4069654088050315,0.475,0.6599254361849097,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138402025132&&companyFlag=0
O2813841502025029,徐汇区社会办医院、门诊部,卫生健康,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.4539160536564258,0.9233672292693156,0.4694511756128897,0.3453192158507181,-0.1085968378057076,0.8374999999999999,0.6994636963696369,0.2967768205912559,1.0,0.6215880503144655,0.7749999999999999,0.6530751181314588,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502025029&&companyFlag=0
O2813841502026094,徐汇区湖南街道_火灾探测器_物联设备信息,公共安全,上海市徐汇区人民政府,数据产品,有条件开放,每年,0.475118996105582,0.9429709613167,0.4678519652111179,0.0156200859628891,-0.4594989101426928,0.8416666666666667,0.8875,0.3992899080648491,1.0,0.5029669811320755,0.675,0.8016565802039852,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O2813841502026094&&companyFlag=0
O1928138382025959,青浦区住房保障申请信息,民生服务,上海市青浦区人民政府,数据接口,有条件开放,每天,0.2798006509357201,0.7468288080511584,0.4670281571154382,0.4645141000104832,0.1847134490747631,0.8374999999999999,0.7652846534653465,0.3873123784382762,0.42,0.9652987421383648,0.7749999999999999,0.5664377253848533,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025959&&companyFlag=0
O5915184212025111,浦东新区养老机构总数（含核定床位数）_机构,民生服务,上海市浦东新区人民政府,数据产品,有条件开放,每年,0.3654262224145391,0.8315337037425307,0.4661074813279915,0.157983017087745,-0.207443205326794,0.8791666666666665,0.6414810231023101,0.2462503056102073,1.0,0.4003616352201258,0.7749999999999999,0.6446910064281653,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184212025111&&companyFlag=0
14372,徐汇区两翼一体企业名录_水利、环境和公共设施管理业,社保就业,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.4613803548247512,0.9273508753538108,0.4659705205290594,0.4769892022224551,0.0156088473977039,0.8833333333333334,0.933395214521452,0.3890515787825367,1.0,0.4113679245283019,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14372&&companyFlag=0
14199,徐汇工会服务阵地明细,民生服务,上海市徐汇区人民政府,数据产品,无条件开放,每年,0.449048031155344,0.9145612747667472,0.465513243611403,0.5000524163958486,0.0510043852405046,0.7958333333333333,0.5566006600660066,0.3296302083111879,1.0,0.5885691823899372,0.975,0.5717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14199&&companyFlag=0
O1928138382025938,青浦区赵巷镇退役军人服务站基本信息,民生服务,上海市青浦区人民政府,数据接口,有条件开放,每天,0.4297192839707079,0.8948527099276654,0.4651334259569575,0.4637802704686026,0.0340609864978946,0.8791666666666665,0.8527846534653465,0.3763277919756964,0.42,0.9652987421383648,0.975,0.6716284103177106,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025938&&companyFlag=0
