数据集ID,数据资源名称,数据领域,数据资源提供部门,数据资源类型,开放属性,更新频率,ActualUse_type_percentile,PotentialUse_CRITIC_percentile,DormantScore_rule,ExpectedUse_model_percentile,DormantScore_model,topic_public_value_score,semantic_clarity_score,data_richness_score,machine_readability_score,timeliness_score,spatiotemporal_capability_score,combinability_score,detail_url
O1928138402025130,闵行区虹桥镇人才业务关联信息,社会发展,上海市闵行区人民政府,数据接口,有条件开放,不定期更新,0.0121033360455655,0.2012789600587063,0.1891756240131408,0.1447740853338924,0.1326707492883269,0.6458333333333334,0.2165841584158415,0.7980862779876907,0.42,0.5752987421383647,0.675,0.7426041470552556,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138402025130&&companyFlag=0
O9780654712025034,年度各科目项目信息,文化休闲,上海市文化和旅游局,数据接口,有条件开放,每天,0.1834825061025223,0.3697452563161757,0.1862627502136533,0.3753013942761296,0.1918188881736072,0.4916666666666666,0.5073226072607261,0.6236655120136685,0.42,0.7242610062893081,0.7849999999999999,0.5782761794878791,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O9780654712025034&&companyFlag=0
O1928138382025069,嘉定区投促厂房基本信息表的附表,社会发展,上海市嘉定区人民政府,数据产品,无条件开放,每年,0.3264820424058849,0.5124226858161233,0.1859406434102383,0.4334835936680993,0.1070015512622144,0.5625,0.2185849834983498,0.3404558561760372,1.0,0.397059748427673,0.975,0.4499999999999999,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025069&&companyFlag=0
O5915184142025095,关于收回《拍卖经营批准证书》或拍卖经营资质的企业,经济建设,上海市大数据中心,数据产品,无条件开放,不定期更新,0.1774123755949805,0.3615682985637907,0.1841559229688102,0.2752909109969598,0.0978785354019793,0.6416666666666667,0.722483498349835,0.1882584088427115,1.0,0.3386635220125786,0.285,0.5338820064984549,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O5915184142025095&&companyFlag=0
11881,虹口区加油站,城市建设,上海市虹口区人民政府,数据产品,有条件开放,每年,0.4195153613154478,0.5996435685082294,0.1801282071927815,0.6100220148862564,0.1905066535708086,0.7625,0.5468646864686468,0.1314798897919736,1.0,0.4003616352201258,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=11881&&companyFlag=0
O1928138382025559,宝山区果园面积信息,农业农村,上海市宝山区人民政府,数据产品,无条件开放,不定期更新,0.3213976633491995,0.5014152426879128,0.1800175793387133,0.4182828388719992,0.0968851755227996,0.6041666666666666,0.5419760726072608,0.1603659448890028,1.0,0.3397641509433962,0.7749999999999999,0.4717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138382025559&&companyFlag=0
O1928138422025272,黄浦区房屋权属统计表,民生服务,上海市黄浦区人民政府,数据接口,无条件开放,每年,0.2157241659886086,0.3928084704895691,0.1770843045009605,0.3915504769892022,0.1758263110005936,0.8374999999999999,0.6335808580858084,0.4682820716526605,0.42,0.6237893081761007,0.675,0.6945126080079802,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025272&&companyFlag=0
O1928138382025331,杨浦区齐一小学栏目表,教育科技,上海市杨浦区人民政府,数据接口,有条件开放,每月,0.2798006509357201,0.4540308208407589,0.1742301699050388,0.3723660761086068,0.0925654251728866,0.6416666666666667,0.5731848184818482,0.4442820189438399,0.42,0.8088836477987422,0.7749999999999999,0.6426680765959939,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138382025331&&companyFlag=0
O8065471362025058,活动排班表,文化休闲,上海市文化和旅游局,数据接口,有条件开放,每天,0.0890968266883645,0.2623964776181989,0.1732996509298344,0.1824090575532026,0.0933122308648381,0.4916666666666666,0.5557549504950495,0.6078747724624558,0.42,0.9652987421383648,0.285,0.6194597554411085,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O8065471362025058&&companyFlag=0
O1928138392025632,普陀区住宅建设竣工面积数据,城市建设,上海市普陀区人民政府,数据产品,无条件开放,每年,0.1529640848117698,0.3262396477618199,0.1732755629500501,0.2406960897368697,0.0877320049250999,0.6791666666666666,0.6044348184818482,0.2117432494281242,0.8300000000000001,0.4355817610062893,0.475,0.6030751181314588,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=O1928138392025632&&companyFlag=0
O1928138422025137,黄浦区五里桥街道油烟设施案件表,城市建设,上海市黄浦区人民政府,数据接口,有条件开放,每月,0.1834825061025223,0.3551734982702589,0.1716909921677366,0.3271831428870951,0.1437006367845728,0.6791666666666666,0.1777433993399339,0.4556280439454509,0.42,0.8165880503144655,0.975,0.770900828051611,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=O1928138422025137&&companyFlag=0
5595,上海非物质文化遗产代表性传承人名单,文化休闲,上海市文化和旅游局,数据接口,无条件开放,每天,0.1998576078112286,0.3708984170248454,0.1710408092136167,0.4152426879127791,0.2153850801015505,0.4916666666666666,0.5733292079207921,0.5018551945001946,0.42,0.9190723270440252,0.585,0.5965881154805203,https://data.sh.gov.cn/view/detail/index.html?type=jk&&id=5595&&companyFlag=0
14219,虹口区排污许可名单,资源环境,上海市虹口区人民政府,数据产品,有条件开放,每年,0.2040242319342276,0.3739385679840654,0.1699143360498378,0.290910996959849,0.0868867650256214,0.6791666666666666,0.5489067656765677,0.1183053988173788,1.0,0.4003616352201258,0.575,0.3717261344435873,https://data.sh.gov.cn/view/detail/index.html?type=cp&&id=14219&&companyFlag=0
